date,percentage_3p,max(trip),min(trip)
2003-01-01,0,0,0
2008-12-31,0,0,0
2009-01-01,5.3,13.80,13.80
2019-12-18,0,0,0
2019-12-31,2.3,28.93,10.56
2020-01-01,5.7,383.30,-103.30
2020-01-02,4.7,215.54,-68.30
2020-01-03,4.5,409.59,-33.30
2020-01-04,5.1,313.30,-62.42
2020-01-05,4.7,333.34,-55.30
2020-01-06,3.7,200.30,-45.42
2020-01-07,3.4,343.30,-61.42
2020-01-08,3.5,350.80,-61.42
2020-01-09,3.4,230.30,-65.92
2020-01-10,3.9,187.55,-59.80
2020-01-11,4.6,250.30,-71.30
2020-01-12,4.5,331.42,-24.80
2020-01-13,3.5,311.30,-59.80
2020-01-14,3.4,300.30,-72.92
2020-01-15,3.3,190.30,-61.42
2020-01-16,3.4,207.95,-57.30
2020-01-17,3.9,420.30,-39.30
2020-01-18,4.6,435.54,-77.71
2020-01-19,4.9,499.56,-84.55
2020-01-20,4.2,409.89,-55.30
2020-01-21,3.4,498.66,-169.80
2020-01-22,3.3,400.30,-59.50
2020-01-23,3.4,400.30,-67.33
2020-01-24,3.7,275.69,-115.92
2020-01-25,4.7,480.36,-38.80
2020-01-26,4.5,220.80,-59.42
2020-01-27,3.5,318.29,-70.30
2020-01-28,3.2,260.31,-65.30
2020-01-29,3.2,245.30,-56.42
2020-01-30,3.3,220.30,-66.42
2020-01-31,3.7,135.36,-59.80
2020-02-01,0,0,0
2020-02-02,50,9.30,9.30
2020-02-12,0,0,0
2020-02-23,100,28.80,28.80
2020-03-04,0,0,0
2020-03-16,100,8.76,8.76
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-04-16,0,0,0
2020-05-07,0,0,0
2020-05-28,0,0,0
2020-06-19,0,0,0
2020-07-10,0,0,0
2020-07-31,0,0,0
2021-01-02,0,0,0
