date,percentage_2p,max(trip),min(trip)
2003-01-01,0,0,0
2008-12-31,0,0,0
2009-01-01,5.3,31.30,31.30
2019-12-18,0,0,0
2019-12-31,7.8,22.30,-6.80
2020-01-01,19.3,281.42,-73.92
2020-01-02,15.9,328.04,-135.30
2020-01-03,16.1,370.30,-70.30
2020-01-04,18.1,481.30,-61.42
2020-01-05,17.2,375.30,-102.42
2020-01-06,13.4,276.36,-65.92
2020-01-07,13.6,375.30,-70.80
2020-01-08,13.4,282.36,-61.42
2020-01-09,13.4,231.65,-112.80
2020-01-10,14.6,245.05,-65.92
2020-01-11,17.7,228.02,-73.80
2020-01-12,16.9,431.60,-61.42
2020-01-13,12.9,475.17,-65.30
2020-01-14,13.1,420.30,-65.92
2020-01-15,13.2,408.95,-61.42
2020-01-16,13.4,290.60,-89.30
2020-01-17,14.5,360.96,-93.30
2020-01-18,17.7,387.60,-177.80
2020-01-19,17.5,407.80,-61.42
2020-01-20,15.4,617.30,-61.42
2020-01-21,13.1,495.30,-61.42
2020-01-22,13.1,294.96,-61.42
2020-01-23,13.3,312.88,-81.35
2020-01-24,14.5,308.47,-65.92
2020-01-25,17.8,173.72,-61.42
2020-01-26,17,345.34,-100.30
2020-01-27,13,240.30,-59.80
2020-01-28,13.1,298.12,-125.30
2020-01-29,12.9,454.19,-61.42
2020-01-30,13,243.49,-65.92
2020-01-31,14.4,360.36,-141.60
2020-02-01,20.8,21.36,12.36
2020-02-02,50,9.80,9.80
2020-02-12,0,0,0
2020-02-23,0,0,0
2020-03-04,0,0,0
2020-03-16,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-04-16,0,0,0
2020-05-07,0,0,0
2020-05-28,0,0,0
2020-06-19,0,0,0
2020-07-10,0,0,0
2020-07-31,0,0,0
2021-01-02,0,0,0
